Municipality;BfsNumber;Minergie;Minergie_Eco;Minergie_A;Minergie_A_Eco;Minergie_P;Minergie_P_Eco
Arbon;4401;66;6;1;0;13;0
Dozwil;4406;7;0;0;0;2;0
Egnach;4411;30;0;0;0;12;0
Hefenhofen;4416;6;0;0;0;4;0
Horn;4421;23;0;1;0;2;1
Kesswil;4426;3;0;0;0;2;0
Roggwil (TG);4431;33;0;2;0;5;0
Romanshorn;4436;93;0;0;0;8;1
Salmsach;4441;10;0;0;0;1;0
Sommeri;4446;0;0;0;0;0;0
Uttwil;4451;16;0;0;0;1;0
Amriswil;4461;91;0;9;0;21;0
Bischofszell;4471;24;0;0;0;1;0
Erlen;4476;25;0;1;0;1;0
Hauptwil-Gottshaus;4486;15;0;0;0;3;0
Hohentannen;4495;2;0;0;0;0;0
Kradolf-Schönenberg;4501;16;0;0;0;3;0
Sulgen;4506;25;1;0;0;1;0
Zihlschlacht-Sitterdorf;4511;12;0;0;0;7;0
Basadingen-Schlattingen;4536;16;0;0;0;3;0
Diessenhofen;4545;44;0;0;0;1;0
Schlatt (TG);4546;15;0;0;0;0;0
Aadorf;4551;126;0;0;0;11;4
Felben-Wellhausen;4561;20;0;0;0;1;0
Frauenfeld;4566;248;0;2;0;22;1
Gachnang;4571;52;0;1;0;18;0
Hüttlingen;4590;3;0;0;0;4;0
Matzingen;4591;29;0;0;0;0;0
Neunforn;4601;14;0;0;0;1;0
Stettfurt;4606;12;0;1;0;3;0
Thundorf;4611;7;0;1;0;5;0
Uesslingen-Buch;4616;8;0;0;0;5;6
Warth-Weiningen;4621;16;0;1;0;1;0
Altnau;4641;21;0;2;0;1;0
Bottighofen;4643;20;0;1;0;1;0
Ermatingen;4646;42;0;4;0;11;1
Gottlieben;4651;5;0;0;0;0;0
Güttingen;4656;20;0;0;0;3;0
Kemmental;4666;21;0;0;0;1;0
Kreuzlingen;4671;136;11;3;0;15;0
Langrickenbach;4681;8;0;0;0;1;0
Lengwil;4683;10;1;0;0;20;0
Münsterlingen;4691;38;0;0;0;3;0
Tägerwilen;4696;58;0;1;3;3;3
Wäldi;4701;6;0;0;0;1;0
Affeltrangen;4711;29;0;1;0;4;0
Bettwiesen;4716;6;0;1;0;1;0
Bichelsee-Balterswil;4721;18;0;0;0;1;0
Braunau;4723;9;0;0;0;1;0
Eschlikon;4724;80;0;0;0;3;0
Fischingen;4726;21;0;0;0;6;0
Lommis;4741;17;0;0;0;1;0
Münchwilen (TG);4746;60;0;1;0;6;0
Rickenbach (TG);4751;14;0;0;0;0;0
Schönholzerswilen;4756;2;0;0;0;2;0
Sirnach;4761;77;0;0;0;2;0
Tobel-Tägerschen;4776;7;0;1;0;5;0
Wängi;4781;31;1;3;0;1;0
Wilen (TG);4786;43;0;0;0;2;0
Wuppenau;4791;5;0;0;0;1;1
Berlingen;4801;10;0;0;0;0;0
Eschenz;4806;6;0;0;0;1;0
Herdern;4811;15;0;0;0;14;1
Homburg;4816;6;0;0;0;0;0
Hüttwilen;4821;26;0;0;0;13;2
Mammern;4826;7;0;0;0;0;0
Müllheim;4831;41;0;0;0;1;0
Pfyn;4841;7;0;1;0;0;0
Raperswilen;4846;0;0;0;0;1;0
Salenstein;4851;13;0;0;0;4;0
Steckborn;4864;62;0;1;0;6;0
Wagenhausen;4871;12;0;0;0;3;0
Amlikon-Bissegg;4881;5;0;0;0;0;0
Berg (TG);4891;28;0;1;0;4;0
Birwinken;4901;4;0;0;0;1;0
Bürglen (TG);4911;12;0;1;0;2;0
Bussnang;4921;17;0;0;0;0;0
Märstetten;4941;36;0;0;1;5;0
Weinfelden;4946;116;1;23;0;8;3
Wigoltingen;4951;10;0;0;0;1;0
