BFS_Nr;Gemeinde;Total_Wohngebaeude;Waermepumpe;Thermische_Solaranlage;Heizkessel;Boiler;Waermetauscher;Anderes_Heizsystem;Kein_Heizsystem
4401;Arbon;2406;364;35;1326;574;94;12;1
4406;Dozwil;199;50;12;91;44;1;1;0
4411;Egnach;1392;280;11;737;345;4;14;1
4416;Hefenhofen;413;77;6;222;107;0;1;0
4421;Horn;450;40;9;288;99;10;4;0
4426;Kesswil;359;44;2;206;105;0;2;0
4431;Roggwil ;868;184;27;473;177;3;4;0
4436;Romanshorn;2137;300;71;1298;444;16;7;1
4441;Salmsach;387;74;5;225;83;0;0;0
4446;Sommeri;181;48;6;60;63;2;1;1
4451;Uttwil;498;48;13;290;140;0;6;1
4461;Amriswil;2634;489;100;1516;496;22;11;0
4471;Bischofszell;1378;256;28;645;434;4;11;0
4476;Erlen;1001;211;21;566;200;2;0;1
4486;Hauptwil-Gottshaus;565;113;16;268;163;2;2;1
4495;Hohentannen;228;19;7;90;104;4;4;0
4501;Kradolf-Schönenberg;856;96;23;449;259;24;5;0
4506;Sulgen;907;133;29;535;205;1;4;0
4511;Zihlschlacht-Sitterdorf;706;121;11;327;241;2;4;0
4536;Basadingen-Schlattingen;648;148;26;202;268;1;2;1
4545;Diessenhofen;847;132;25;431;247;7;5;0
4546;Schlatt;633;121;10;194;304;3;1;0
4551;Aadorf;2202;358;76;1178;524;64;2;0
4561;Felben-Wellhausen;656;109;15;368;146;17;1;0
4566;Frauenfeld;4702;476;55;3312;779;36;44;0
4571;Gachnang;1166;334;53;624;142;5;7;1
4590;Hüttlingen;297;66;5;116;95;12;3;0
4591;Matzingen;735;112;10;418;193;2;0;0
4601;Neunforn;387;75;22;128;126;32;2;2
4606;Stettfurt;409;79;6;198;124;1;1;0
4611;Thundorf;439;91;13;210;117;3;5;0
4616;Uesslingen-Buch;375;86;7;156;122;1;3;0
4621;Warth-Weiningen;446;99;13;240;90;1;3;0
4641;Altnau;668;124;25;410;103;4;2;0
4643;Bottighofen;541;87;23;347;78;6;0;0
4646;Ermatingen;961;201;15;512;228;1;4;0
4651;Gottlieben;82;11;1;60;10;0;0;0
4656;Güttingen;513;75;15;282;128;2;11;0
4666;Kemmental;922;208;42;460;208;3;1;0
4671;Kreuzlingen;3210;472;115;2043;564;6;10;0
4681;Langrickenbach;426;122;5;148;144;6;1;0
4683;Lengwil;527;127;11;204;182;2;1;0
4691;Münsterlingen;764;159;16;475;97;12;5;0
4696;Tägerwilen;1019;201;19;542;251;2;4;0
4701;Wäldi;403;40;4;207;120;25;7;0
4711;Affeltrangen;770;140;9;420;180;14;7;0
4716;Bettwiesen;326;45;0;126;153;0;2;0
4721;Bichelsee-Balterswil;888;148;0;397;231;70;42;0
4723;Braunau;254;53;5;99;96;1;0;0
4724;Eschlikon;1070;160;53;632;201;23;1;0
4726;Fischingen;942;180;51;411;277;22;1;0
4741;Lommis;400;115;5;157;122;0;1;0
4746;Münchwilen;1274;185;52;673;297;64;3;0
4751;Rickenbach ;370;25;5;207;128;0;4;1
4756;Schönholzerswilen;267;18;7;96;146;0;0;0
4761;Sirnach;1717;252;46;1075;334;3;7;0
4776;Tobel-Tägerschen;433;75;21;236;94;0;7;0
4781;Wängi;1357;226;8;710;402;9;2;0
4786;Wilen;630;109;23;398;96;1;3;0
4791;Wuppenau;381;89;14;129;147;2;0;0
4801;Berlingen;379;48;4;203;121;0;2;1
4806;Eschenz;615;69;30;343;168;1;4;0
4811;Herdern;351;91;9;143;97;11;0;0
4816;Homburg;525;110;5;254;137;12;7;0
4821;Hüttwilen;577;135;8;298;130;2;4;0
4826;Mammern;245;39;3;135;63;0;5;0
4831;Müllheim;810;80;6;497;227;0;0;0
4841;Pfyn;640;143;12;375;110;0;0;0
4846;Raperswilen;170;26;2;84;56;2;0;0
4851;Salenstein;476;52;3;290;111;18;2;0
4864;Steckborn;1056;160;25;643;223;0;4;1
4871;Wagenhausen;550;77;7;259;182;20;3;2
4881;Amlikon-Bissegg;496;119;24;164;182;3;4;0
4891;Berg ;1007;195;50;543;216;3;0;0
4901;Birwinken;447;81;13;189;162;1;1;0
4911;Bürglen ;853;128;35;517;156;17;0;0
4921;Bussnang;749;163;13;360;207;0;6;0
4941;Märstetten;772;114;7;472;172;3;4;0
4946;Weinfelden;2195;251;95;1507;311;14;17;0
4951;Wigoltingen;804;163;4;453;182;2;0;0
